Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Unidades de medida;Total
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Mujeres;Personas;1.322.582
Total Nacional;11 Extremadura;;Ambos sexos;Personas;1.061.636
Total Nacional;11 Extremadura;;Hombres;Personas;525.843
Total Nacional;11 Extremadura;;Mujeres;Personas;535.793
Total Nacional;11 Extremadura;06 Badajoz;Ambos sexos;Personas;671.092
Total Nacional;11 Extremadura;06 Badajoz;Hombres;Personas;331.856
Total Nacional;11 Extremadura;06 Badajoz;Mujeres;Personas;339.236
Total Nacional;11 Extremadura;10 Cáceres;Ambos sexos;Personas;390.544
Total Nacional;11 Extremadura;10 Cáceres;Hombres;Personas;193.987
Total Nacional;11 Extremadura;10 Cáceres;Mujeres;Personas;196.557
Total Nacional;12 Galicia;;Ambos sexos;Personas;2.698.177
Total Nacional;12 Galicia;;Hombres;Personas;1.299.491
Total Nacional;12 Galicia;;Mujeres;Personas;1.398.686
Total Nacional;12 Galicia;15 Coruña, A;Ambos sexos;Personas;1.120.501
Total Nacional;12 Galicia;15 Coruña, A;Hombres;Personas;537.361
Total Nacional;12 Galicia;15 Coruña, A;Mujeres;Personas;583.140
Total Nacional;12 Galicia;27 Lugo;Ambos sexos;Personas;326.068
Total Nacional;12 Galicia;27 Lugo;Hombres;Personas;158.003
Total Nacional;12 Galicia;27 Lugo;Mujeres;Personas;168.065
Total Nacional;12 Galicia;32 Ourense;Ambos sexos;Personas;305.297
Total Nacional;12 Galicia;32 Ourense;Hombres;Personas;146.630
Total Nacional;12 Galicia;32 Ourense;Mujeres;Personas;158.667
Total Nacional;12 Galicia;36 Pontevedra;Ambos sexos;Personas;946.311
Total Nacional;12 Galicia;36 Pontevedra;Hombres;Personas;457.497
Total Nacional;12 Galicia;36 Pontevedra;Mujeres;Personas;488.814
Total Nacional;13 Madrid, Comunidad de;;Ambos sexos;Personas;6.726.640
Total Nacional;13 Madrid, Comunidad de;;Hombres;Personas;3.221.401
Total Nacional;13 Madrid, Comunidad de;;Mujeres;Personas;3.505.239
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Ambos sexos;Personas;6.726.640
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Hombres;Personas;3.221.401
Total Nacional;13 Madrid, Comunidad de;28 Madrid;Mujeres;Personas;3.505.239
Total Nacional;14 Murcia, Región de;;Ambos sexos;Personas;1.518.279
Total Nacional;14 Murcia, Región de;;Hombres;Personas;760.831
Total Nacional;14 Murcia, Región de;;Mujeres;Personas;757.448
Total Nacional;14 Murcia, Región de;30 Murcia;Ambos sexos;Personas;1.518.279
Total Nacional;14 Murcia, Región de;30 Murcia;Hombres;Personas;760.831
Total Nacional;14 Murcia, Región de;30 Murcia;Mujeres;Personas;757.448
Total Nacional;15 Navarra, Comunidad Foral de;;Ambos sexos;Personas;662.032
Total Nacional;15 Navarra, Comunidad Foral de;;Hombres;Personas;327.940
Total Nacional;15 Navarra, Comunidad Foral de;;Mujeres;Personas;334.092
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Ambos sexos;Personas;662.032
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Hombres;Personas;327.940
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Mujeres;Personas;334.092
Total Nacional;16 País Vasco;;Ambos sexos;Personas;2.212.628
Total Nacional;16 País Vasco;;Hombres;Personas;1.075.982
Total Nacional;16 País Vasco;;Mujeres;Personas;1.136.646
Total Nacional;16 País Vasco;01 Araba/Álava;Ambos sexos;Personas;333.485
Total Nacional;16 País Vasco;01 Araba/Álava;Hombres;Personas;164.299
Total Nacional;16 País Vasco;01 Araba/Álava;Mujeres;Personas;169.186
Total Nacional;16 País Vasco;48 Bizkaia;Ambos sexos;Personas;1.153.635
Total Nacional;16 País Vasco;48 Bizkaia;Hombres;Personas;557.190
Total Nacional;16 País Vasco;48 Bizkaia;Mujeres;Personas;596.445
Total Nacional;16 País Vasco;20 Gipuzkoa;Ambos sexos;Personas;725.508
Total Nacional;16 País Vasco;20 Gipuzkoa;Hombres;Personas;354.493
Total Nacional;16 País Vasco;20 Gipuzkoa;Mujeres;Personas;371.015
Total Nacional;17 Rioja, La;;Ambos sexos;Personas;319.444
Total Nacional;17 Rioja, La;;Hombres;Personas;157.763
Total Nacional;17 Rioja, La;;Mujeres;Personas;161.681
Total Nacional;17 Rioja, La;26 Rioja, La;Ambos sexos;Personas;319.444
Total Nacional;17 Rioja, La;26 Rioja, La;Hombres;Personas;157.763
